author_id,pub_id,title,year,num_citations,url,date_scraped
QW-eo0MAAAAJ,QW-eo0MAAAAJ:mNrWkgRL2YcC,The state of OA: a large-scale analysis of the prevalence and impact of Open Access articles,,1651,https://peerj.com/articles/4375/?ref=blog.oa.works,2025-10-27 01:47:48
QW-eo0MAAAAJ,QW-eo0MAAAAJ:5icHVeHT4IsC,"The evaluation of scholarship in academic promotion and tenure processes: Past, present, and future",,422,https://pmc.ncbi.nlm.nih.gov/articles/PMC6325612/,2025-10-27 01:47:52
QW-eo0MAAAAJ,QW-eo0MAAAAJ:sJsF-0ZLhtgC,"Use of the Journal Impact Factor in academic review, promotion, and tenure evaluations",,403,https://elifesciences.org/articles/47338,2025-10-27 01:47:55
QW-eo0MAAAAJ,QW-eo0MAAAAJ:uDGL6kOW6j0C,"Why we publish where we do: Faculty publishing values and their relationship to review, promotion and tenure expectations",,313,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0228914,2025-10-27 01:47:59
QW-eo0MAAAAJ,QW-eo0MAAAAJ:tH6gc1N1XXoC,"How significant are the public dimensions of faculty work in review, promotion and tenure documents?",,252,https://elifesciences.org/articles/42254,2025-10-27 01:48:03
QW-eo0MAAAAJ,QW-eo0MAAAAJ:cWzG1nlazyYC,La reinterpretación de visibilidad y calidad en las nuevas políticas de evaluación de revistas científicas,,156,http://www.scielo.org.co/scielo.php?pid=S0120-09762017000300231&script=sci_arttext,2025-10-27 01:48:07
QW-eo0MAAAAJ,QW-eo0MAAAAJ:kw52XkFRtyQC,Communicating scientific uncertainty in an age of COVID-19: An investigation into the use of preprints by digital media outlets,,143,https://www.tandfonline.com/doi/abs/10.1080/10410236.2020.1864892,2025-10-27 01:48:11
QW-eo0MAAAAJ,QW-eo0MAAAAJ:FAceZFleit8C,"Hecho en Latinoamérica: acceso abierto, revistas académicas e innovaciones regionales",,133,https://www.sidalc.net/search/Record/KOHA-OAI-AGRO:55691/Description,2025-10-27 01:48:15
QW-eo0MAAAAJ,QW-eo0MAAAAJ:_axFR9aDTf0C,Geographic variation in social media metrics: an analysis of Latin American journal articles,,123,https://www.emerald.com/insight/content/doi/10.1108/AJIM-12-2014-0176/full/html,2025-10-27 01:48:19
QW-eo0MAAAAJ,QW-eo0MAAAAJ:WC9gN4BGCRcC,Recalibrating the scope of scholarly publishing: A modest step in a vast decolonization process,,108,https://direct.mit.edu/qss/article-abstract/3/4/912/114119,2025-10-27 01:48:23
